id;email;password;first_name;first_name_en;first_name_ru;last_name;last_name_en;last_name_ru;about;about_en;about_ru;phone;experience;diploma;photo
110;OneSample@mail.ru;Letmein-4321;One;One;Ван;Sample;Sample;Сэмпл;Text;Text;Текст;79 111 111 121;2010;#123123 15.07.2020;media\doctor-full.jpg
111;TwoSample@mail.ru;Letmein-4321;Two;Two;Ту;Sample;Sample;Сэмпл;Text;Text;Текст;79 111 111 122;2011;#123123 15.07.2020;media\doctor-full.jpg
112;ThreeSample@mail.ru;Letmein-4321;Three;Three;Три;Sample;Sample;Сэмпл;Text;Text;Текст;79 111 111 123;2012;#123123 15.07.2020;media\doctor-full.jpg
113;FourSample@mail.ru;Letmein-4321;Four;Four;Фо;Sample;Sample;Сэмпл;Text;Text;Текст;79 111 111 124;2013;#123123 15.07.2020;media\doctor-full.jpg
114;FiveSample@mail.ru;Letmein-4321;Five;Five;Файв;Sample;Sample;Сэмпл;Text;Text;Текст;79 111 111 125;2014;#123123 15.07.2020;media\doctor-full.jpg
115;SixSample@mail.ru;Letmein-4321;Six;Six;Сикс;Sample;Sample;Сэмпл;Text;Text;Текст;79 111 111 126;2015;#123123 15.07.2020;media\doctor-full.jpg
116;SevenSample@mail.ru;Letmein-4321;Seven;Seven;Севен;Sample;Sample;Сэмпл;Text;Text;Текст;79 111 111 127;2016;#123123 15.07.2020;media\doctor-full.jpg
117;EightSample@mail.ru;Letmein-4321;Eight;Eight;Эйт;Sample;Sample;Сэмпл;Text;Text;Текст;79 111 111 128;2017;#123123 15.07.2020;media\doctor-full.jpg
118;NineSample@mail.ru;Letmein-4321;Nine;Nine;Найн;Sample;Sample;Сэмпл;Text;Text;Текст;79 111 111 129;2018;#123123 15.07.2020;media\doctor-full.jpg
119;TenSample@mail.ru;Letmein-4321;Ten;Ten;Тен;Sample;Sample;Сэмпл;Text;Text;Текст;79 111 111 130;2019;#123123 15.07.2020;media\doctor-full.jpg
